Date, TotalSubscribers29.10.2012,11274
02.08.2013,46925
03.08.2013,46975
04.08.2013,47066
05.08.2013,47136
06.08.2013,47187
07.08.2013,47229
08.08.2013,47315
09.08.2013,47353
10.08.2013,47381
11.08.2013,47449
12.08.2013,47516
13.08.2013,47598
14.08.2013,47748
15.08.2013,47818
16.08.2013,47898
17.08.2013,47952
18.08.2013,48023
19.08.2013,48108
20.08.2013,48191
21.08.2013,48250
22.08.2013,48665
23.08.2013,48785
24.08.2013,48859
25.08.2013,48923
26.08.2013,48981
27.08.2013,49061
28.08.2013,49142
29.08.2013,49215
30.08.2013,49275
31.08.2013,49351
01.09.2013,49396
02.09.2013,49484
03.09.2013,49537
04.09.2013,49580
05.09.2013,49660
06.09.2013,49704
07.09.2013,49755
08.09.2013,49829
09.09.2013,49932
10.09.2013,50056
11.09.2013,50133
12.09.2013,50174
13.09.2013,50205
14.09.2013,50246
15.09.2013,50299
16.09.2013,50347
17.09.2013,50394
18.09.2013,50443
19.09.2013,50489
20.09.2013,50556
21.09.2013,50624
22.09.2013,50679
23.09.2013,50716
24.09.2013,50789
25.09.2013,50824
26.09.2013,50901
27.09.2013,50940
28.09.2013,51002
29.09.2013,51041
30.09.2013,51085
01.10.2013,51141
02.10.2013,51400
03.10.2013,51665
04.10.2013,51872
05.10.2013,52008
06.10.2013,52130
07.10.2013,52264
08.10.2013,52366
09.10.2013,52439
10.10.2013,52520
11.10.2013,52591
12.10.2013,52650
13.10.2013,52738
14.10.2013,52828
15.10.2013,52925
16.10.2013,53033
17.10.2013,53130
18.10.2013,53229
19.10.2013,53363
20.10.2013,53446
21.10.2013,53560
22.10.2013,53694
23.10.2013,53840
24.10.2013,53951
25.10.2013,54076
26.10.2013,54186
27.10.2013,54283
28.10.2013,54384
29.10.2013,55285
30.10.2013,55688
31.10.2013,55922
01.11.2013,56122
02.11.2013,56285
03.11.2013,56496
04.11.2013,56709
05.11.2013,56954
06.11.2013,57571
07.11.2013,58307
08.11.2013,58994
09.11.2013,59492
10.11.2013,59995
11.11.2013,60549
12.11.2013,61059
13.11.2013,61934
14.11.2013,62434
15.11.2013,62754
16.11.2013,63173
17.11.2013,63824
18.11.2013,65120
19.11.2013,66296
20.11.2013,67022
21.11.2013,67651
22.11.2013,68625
23.11.2013,69234
24.11.2013,69796
25.11.2013,70645
26.11.2013,71375
27.11.2013,72480
28.11.2013,73488
29.11.2013,74089
30.11.2013,74630
01.12.2013,75530
02.12.2013,76275
03.12.2013,76818
04.12.2013,77486
05.12.2013,78408
06.12.2013,79201
07.12.2013,79999
08.12.2013,80638
09.12.2013,81392
10.12.2013,82028
11.12.2013,82581
12.12.2013,83085
13.12.2013,83408
14.12.2013,83746
15.12.2013,84352
16.12.2013,84913
17.12.2013,85351
18.12.2013,87164
19.12.2013,87765
20.12.2013,88069
21.12.2013,88474
22.12.2013,88768
23.12.2013,89087
24.12.2013,89336
25.12.2013,89583
26.12.2013,89922
27.12.2013,90195
28.12.2013,90495
29.12.2013,90782
30.12.2013,90977
31.12.2013,91092
01.01.2014,91313
02.01.2014,91604
03.01.2014,91899
04.01.2014,92172
05.01.2014,92507
06.01.2014,92828
07.01.2014,93175
08.01.2014,93479
09.01.2014,93851
10.01.2014,94178
11.01.2014,94502
12.01.2014,94828
13.01.2014,95072
14.01.2014,95392
15.01.2014,95708
16.01.2014,96041
17.01.2014,96272
18.01.2014,96449
19.01.2014,96702
20.01.2014,97105
21.01.2014,97431
22.01.2014,97823
23.01.2014,98181
24.01.2014,98484
25.01.2014,98759
26.01.2014,99018
27.01.2014,99419
28.01.2014,99823
29.01.2014,100304
30.01.2014,100768
31.01.2014,101071
01.02.2014,101311
02.02.2014,101509
03.02.2014,101776
04.02.2014,102022
05.02.2014,102280
06.02.2014,102648
07.02.2014,103028
08.02.2014,103273
09.02.2014,103553
10.02.2014,104007
11.02.2014,104403
12.02.2014,104667
13.02.2014,105131
14.02.2014,105555
15.02.2014,105800
16.02.2014,106082
17.02.2014,106283
18.02.2014,106490
19.02.2014,106725
20.02.2014,107006
21.02.2014,107214
22.02.2014,107420
23.02.2014,107652
24.02.2014,108068
25.02.2014,108968
26.02.2014,109647
27.02.2014,110084
28.02.2014,110571
01.03.2014,110809
02.03.2014,111107
03.03.2014,111375
04.03.2014,111636
05.03.2014,111872
06.03.2014,112261
07.03.2014,112616
08.03.2014,112818
08.03.2014,113064
09.03.2014,113259
10.03.2014,113454
11.03.2014,113667
12.03.2014,113840
13.03.2014,114016
14.03.2014,114107
15.03.2014,114177
16.03.2014,114327
17.03.2014,114458
18.03.2014,114606
19.03.2014,114718
20.03.2014,114842
21.03.2014,114970
22.03.2014,115101
23.03.2014,115237
24.03.2014,115371
25.03.2014,115502
26.03.2014,115654
27.03.2014,115835
28.03.2014,115940
29.03.2014,116061
30.03.2014,116214
31.03.2014,116341
01.04.2014,116472
02.04.2014,116576
03.04.2014,116668
04.04.2014,116731
05.04.2014,116827
06.04.2014,116884
07.04.2014,116981
08.04.2014,117061
09.04.2014,117133
10.04.2014,117294
11.04.2014,117379
12.04.2014,117452
13.04.2014,117541
14.04.2014,117599
15.04.2014,117698
16.04.2014,117806
17.04.2014,117878
18.04.2014,117984
19.04.2014,118036
20.04.2014,118084
21.04.2014,118159
22.04.2014,118262
23.04.2014,118377
24.04.2014,118464
25.04.2014,118602
26.04.2014,118676
27.04.2014,118778
28.04.2014,118889
